Rk Player Age Team Pos G GS MP PER TS% 3PAr FTr ORB% DRB% TRB% AST% STL% BLK% TOV% USG% OWS DWS WS WS/48 OBPM DBPM BPM VORP
Aaron Nesmith 25 IND SF 6 6.0 136.0 12.0 0.659 0.306 0.361 3.4 16.3 10.0 5.9 1.4 1.4 10.7 14.9 0.2 0.1 0.3 0.108 -1.9 -0.1 -2.1 0.0
Torrey Craig 34 CHI SF 9 1.0 113.0 17.3 0.663 0.778 0.089 7.5 15.6 11.6 6.3 0.8 0.8 0.0 17.2 0.3 0.1 0.4 0.164 3.6 -1.4 2.1 0.1
Jae Crowder 34 SAC SF 6 2.0 89.0 7.0 0.509 0.706 0.353 7.5 13.9 10.7 5.5 1.6 0.0 16.9 11.4 0.0 0.1 0.1 0.045 -3.9 -0.5 -4.4 -0.1
Tosan Evbuomwan 23 BRK SF 3 0.0 74.0 9.2 0.546 0.333 0.5 4.6 18.0 11.1 6.1 0.7 2.8 15.4 15.5 0.0 0.0 0.0 0.015 -4.7 -1.4 -6.1 -0.1
Justin Edwards 21 PHI SF 7 0.0 72.0 11.0 0.535 0.636 0.045 6.1 15.2 10.4 6.4 1.4 2.9 8.2 14.9 0.0 0.1 0.1 0.065 -2.8 -0.9 -3.8 0.0
MarJon Beauchamp 24 MIL SF 17 0.0 69.0 4.2 0.506 0.481 0.222 4.9 21.2 13.3 4.1 0.7 1.4 28.8 26.4 -0.3 0.1 -0.2 -0.15 -8.5 -2.8 -11.2 -0.2
Armel Traor̩ 22 LAL SF 8 0.0 61.0 2.9 0.285 0.389 0.389 1.9 23.8 12.9 2.2 3.2 3.0 8.7 16.6 -0.2 0.1 -0.1 -0.117 -10.1 -0.7 -10.8 -0.1
Matt Ryan 27 NYK SF 12 0.0 50.0 -1.3 0.357 0.667 0.0 0.0 6.7 3.4 0.0 1.0 0.0 12.5 21.0 -0.2 0.0 -0.2 -0.182 -9.3 -4.5 -13.7 -0.1
Keshad Johnson 23 MIA SF 6 0.0 46.0 13.2 0.595 0.4 0.4 2.4 28.1 15.4 6.4 1.1 8.3 14.5 13.2 0.0 0.1 0.1 0.092 -3.3 1.2 -2.0 0.0
Sidy Cissoko 20 SAS SF 13 0.0 41.0 10.3 0.508 0.462 0.308 5.2 15.2 10.3 21.3 0.0 0.0 6.3 16.4 0.0 0.0 0.1 0.065 -1.2 -1.0 -2.1 0.0
Kawhi Leonard 33 LAC SF 2 2.0 40.0 7.6 0.429 0.455 0.136 5.5 8.4 6.9 11.5 2.4 0.0 11.4 28.3 -0.1 0.0 -0.1 -0.072 -3.9 -2.9 -6.8 0.0
Dariq Whitehead 20 BRK SF 5 0.0 30.0 21.4 0.75 0.929 0.0 0.0 12.1 5.9 6.0 5.0 3.4 17.6 25.0 0.0 0.0 0.1 0.088 5.4 2.4 7.7 0.1
Dominick Barlow 21 ATL SF 7 0.0 30.0 3.8 0.381 0.286 0.286 0.0 14.6 7.2 4.1 1.5 0.0 0.0 10.7 0.0 0.0 0.0 -0.014 -6.2 -1.5 -7.7 0.0
Maxwell Lewis 22 2TM SF 8 0.0 30.0 6.1 0.5 0.143 0.0 7.6 0.0 3.7 8.6 1.6 0.0 22.2 13.2 0.0 0.0 0.0 -0.01 -3.9 -3.0 -6.9 0.0
Maxwell Lewis 22 LAL SF 7 0.0 29.0 2.3 0.333 0.0 0.0 7.8 0.0 3.9 8.9 1.7 0.0 25.0 12.1 -0.1 0.0 -0.1 -0.096 -6.6 -3.4 -10.0 -0.1
Maxwell Lewis 22 BRK SF 1 0.0 1.0 118.8 1.5 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 44.1 0.1 0.0 0.1 2.484 72.4 10.5 82.9 0.0
Jacob Toppin 24 NYK SF 11 0.0 28.0 2.4 0.2 0.4 0.0 4.2 15.9 10.2 16.5 0.0 0.0 16.7 9.4 0.0 0.0 0.0 -0.049 -5.6 -1.7 -7.3 0.0
Kessler Edwards 24 DAL SF 12 0.0 26.0 -9.2 0.0 0.667 0.0 0.0 8.1 4.1 4.4 0.0 3.4 14.3 11.5 -0.1 0.0 -0.1 -0.241 -13.8 -3.2 -16.9 -0.1
Joe Ingles 37 MIN SF 8 0.0 26.0 5.6 0.0 1.0 0.0 8.7 0.0 4.3 42.8 0.0 0.0 33.3 5.0 0.0 0.0 0.0 0.084 -3.2 1.0 -2.1 0.0
Malevy Leons 25 OKC SF 6 0.0 21.0 -2.3 0.266 0.5 2.0 5.1 10.0 7.6 5.3 0.0 0.0 21.0 9.7 0.0 0.0 0.0 -0.045 -10.7 -1.9 -12.7 -0.1
Jalen Bridges 23 PHO SF 4 0.0 17.0 -9.1 0.129 1.0 0.667 0.0 19.2 9.8 0.0 0.0 0.0 34.0 15.3 -0.1 0.0 -0.1 -0.336 -14.9 -5.4 -20.3 -0.1
Trentyn Flowers 19 LAC SF 1 0.0 14.0 9.1 0.477 0.222 0.111 7.9 23.9 15.9 0.0 0.0 0.0 9.6 32.1 0.0 0.0 0.0 -0.057 -5.0 -0.8 -5.7 0.0
Spencer Jones 23 DEN SF 5 0.0 13.0 2.3 0.25 0.75 0.0 0.0 24.4 12.6 0.0 7.3 0.0 20.0 16.2 -0.1 0.0 0.0 -0.131 -13.5 2.3 -11.3 0.0
Cole Swider 25 DET SF 2 0.0 13.0 -11.3 0.0 1.0 0.0 0.0 17.2 8.6 9.0 0.0 0.0 0.0 16.4 -0.1 0.0 -0.1 -0.331 -14.6 -6.2 -20.8 -0.1
Isaiah Crawford 23 SAC SF 2 0.0 7.0 -0.4 0.0 16.1 8.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.022 -9.1 -0.6 -9.7 0.0    
Harrison Ingram 22 SAS SF 1 0.0 7.0 -5.7 0.0 0.0 0.0 0.0 14.9 7.5 0.0 0.0 0.0 0.0 6.1 0.0 0.0 0.0 -0.121 -11.7 -3.9 -15.6 0.0
Riley Minix 24 SAS SF 1 0.0 7.0 -1.8 0.0 1.0 0.0 0.0 29.7 15.1 0.0 0.0 0.0 0.0 6.1 0.0 0.0 0.0 -0.097 -8.6 -3.4 -12.0 0.0
Chris Livingston 21 MIL SF 3 0.0 6.0 19.2 0.5 0.0 0.0 18.6 17.4 18.0 24.1 8.0 0.0 33.3 21.9 0.0 0.0 0.0 0.071 -0.3 4.7 4.4 0.0
Justin Minaya 25 POR SF 1 0.0 6.0 -0.5 0.0 18.6 9.1 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.006 -11.2 -1.9 -13.1 0.0    
Jaylen Martin 21 BRK SF 3 0.0 5.0 13.1 0.75 0.5 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 17.6 0.0 0.0 0.0 0.106 4.3 -1.1 3.3 0.0
Leonard Miller 21 MIN SF 2 0.0 5.0 18.2 0.347 0.5 1.0 22.7 21.8 22.2 0.0 9.9 0.0 0.0 25.2 0.0 0.0 0.0 0.157 -5.4 4.5 -1.0 0.0
Bobi Klintman 21 DET SF 1 0.0 4.0 -1.4 0.0 55.8 28.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.082 -15.7 1.3 -14.4 0.0    
