Rk Player Age Team Pos G GS MP PER TS% 3PAr FTr ORB% DRB% TRB% AST% STL% BLK% TOV% USG% OWS DWS WS WS/48 OBPM DBPM BPM VORP
Eric Gordon 36 PHI SG 24 2.0 402.0 8.6 0.523 0.627 0.236 0.8 5.8 3.2 10.2 1.9 1.5 12.3 15.1 -0.1 0.3 0.2 0.026 -2.8 -0.6 -3.4 -0.1
Alex Caruso 30 OKC SG 20 0.0 398.0 12.4 0.466 0.57 0.079 3.2 12.1 7.7 15.6 4.6 3.1 11.3 14.3 0.0 1.0 1.0 0.123 -2.8 4.6 1.8 0.4
Tyrese Martin 25 BRK SG 21 4.0 393.0 12.6 0.546 0.607 0.15 5.8 17.3 11.4 14.0 1.4 0.8 11.8 19.0 0.2 0.2 0.4 0.05 0.0 -1.2 -1.1 0.1
Talen Horton-Tucker 24 CHI SG 30 0.0 366.0 15.6 0.589 0.441 0.266 3.8 12.7 8.3 17.0 1.6 1.9 10.1 20.2 0.5 0.2 0.8 0.099 0.1 -0.7 -0.6 0.1
Alec Burks 33 MIA SG 21 0.0 350.0 13.7 0.632 0.742 0.28 2.2 12.6 7.5 9.0 1.8 1.1 6.3 14.0 0.6 0.4 1.0 0.136 0.3 1.0 1.3 0.3
Josh Okogie 26 PHO SG 24 1.0 343.0 15.9 0.587 0.375 0.286 10.3 12.4 11.3 6.1 2.9 2.5 11.3 18.3 0.4 0.3 0.7 0.1 0.3 0.0 0.3 0.2
Gary Harris 30 ORL SG 20 2.0 326.0 7.8 0.536 0.75 0.111 3.4 5.6 4.5 4.4 2.0 1.5 10.6 11.3 0.0 0.4 0.5 0.069 -3.0 1.0 -2.0 0.0
John Konchar 28 MEM SG 21 3.0 311.0 11.3 0.519 0.707 0.103 8.7 21.8 15.4 9.7 1.9 2.9 14.2 9.0 0.3 0.6 0.8 0.13 -1.2 2.2 1.0 0.2
Pelle Larsson 23 MIA SG 22 0.0 308.0 10.1 0.584 0.458 0.375 3.9 8.7 6.4 12.6 1.8 0.3 11.6 13.6 0.3 0.3 0.6 0.095 -4.0 0.2 -3.8 -0.1
Jared Butler 24 WAS SG 26 0.0 290.0 17.4 0.547 0.247 0.219 3.6 6.5 5.0 40.1 1.6 0.9 13.0 26.4 0.4 0.0 0.4 0.063 2.5 -1.6 0.9 0.2
Pat Connaughton 32 MIL SG 18 0.0 285.0 9.0 0.498 0.618 0.158 3.9 15.1 9.7 13.0 0.7 2.0 11.9 14.2 0.0 0.3 0.3 0.055 -2.7 -0.5 -3.1 -0.1
Dru Smith 27 MIA SG 14 1.0 268.0 13.6 0.659 0.492 0.213 4.9 9.6 7.3 12.3 3.9 2.1 20.3 13.8 0.2 0.4 0.7 0.122 -1.2 3.2 2.1 0.3
Malaki Branham 21 SAS SG 23 0.0 264.0 9.9 0.558 0.448 0.19 1.2 11.0 6.2 14.9 1.3 0.7 18.6 22.7 -0.2 0.2 0.0 -0.007 -2.8 -1.6 -4.4 -0.2
Blake Wesley 21 SAS SG 24 0.0 262.0 9.9 0.522 0.263 0.276 2.5 6.0 4.2 25.1 1.7 1.0 21.2 17.7 -0.1 0.2 0.1 0.019 -3.5 -0.8 -4.4 -0.2
Rayan Rupert 20 POR SG 26 0.0 251.0 9.1 0.519 0.449 0.232 7.7 8.0 7.8 7.2 1.5 0.7 14.6 14.8 0.0 0.0 0.1 0.015 -2.6 -1.7 -4.2 -0.1
Johnny Furphy 20 IND SG 24 0.0 211.0 8.7 0.517 0.582 0.127 7.1 8.4 7.8 5.4 1.8 2.6 13.4 13.8 0.0 0.1 0.1 0.029 -2.4 -0.9 -3.3 -0.1
